macro_regiao,exposicao,outcome,contrast,ext_days,ref_days,ext_pct_events,ref_pct_events,chi2,chi_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Metropolitana I,ur_med,internacoes_i60_i64,P99_vs_P50,59,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i69,P05_vs_P50,234,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i69,P95_vs_P50,234,336,99.6,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i69,P01_vs_P50,59,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i69,P99_vs_P50,59,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i64,P05_vs_P50,234,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i64,P95_vs_P50,234,336,99.6,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i64,P01_vs_P50,59,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,obitos_i60_i64,P99_vs_P50,59,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i69,P05_vs_P50,234,339,99.1,98.8,0.0,1.0,1.0,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i69,P95_vs_P50,234,339,99.6,98.8,0.24521325108582057,0.6204659268409345,1.0,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i69,P01_vs_P50,59,339,100.0,98.8,0.017285366696132193,0.8954004913375229,1.0,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i69,P99_vs_P50,59,339,100.0,98.8,0.017285366696132193,0.8954004913375229,1.0,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i64,P05_vs_P50,234,339,99.1,98.5,0.07699246913066912,0.7814152702083943,1.0,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i64,P95_vs_P50,234,339,99.6,98.5,0.6295069442193337,0.4275362276659477,1.0,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i64,P01_vs_P50,59,339,100.0,98.5,0.09332785269133496,0.7599883578230479,1.0,1.0,False,False,False
Metropolitana II,temp_med,internacoes_i60_i64,P99_vs_P50,59,339,100.0,98.5,0.09332785269133496,0.7599883578230479,1.0,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i69,P05_vs_P50,234,339,95.3,95.0,0.0,1.0,1.0,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i69,P95_vs_P50,234,339,88.9,95.0,6.5602755282418475,0.010428021883366948,0.4290386146299544,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i69,P01_vs_P50,59,339,100.0,95.0,1.985955727688372,0.15876438673121862,0.8165025603319815,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i69,P99_vs_P50,59,339,89.8,95.0,1.5970514633688608,0.20632156235694984,0.9141632301354086,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i64,P05_vs_P50,234,339,85.0,85.5,0.0022256453709708973,0.9623723608191374,1.0,1.0,False,False,False
Metropolitana II,temp_med,obitos_i60_i64,P95_vs_P50,234,339,82.1,85.5,1.0173682281848204,0.3131440872268819,1.0,1.0,False,False,False
