macro_regiao,exposicao,outcome,contrast,n_P05,n_P50,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,cliffs_delta,cliffs_abs,cliffs_magnitude
Baixada Litoranea,temp_med,obitos_i60_i64,P05_vs_P50,293.0,240,0.0,0.0,0.6689419795221843,0.625,36785.0,0.3077583119964169,0.04394197952218426,,,,0.5539649615935505,1.0,False,False,False,0.04621729237770193,0.04621729237770193,negligenciável
Baixada Litoranea,temp_med,obitos_i60_i64,P95_vs_P50,,240,,0.0,,0.625,34017.5,0.46461485302261396,-0.061860068259385614,293.0,0.0,0.5631399317406144,0.6969222795339208,1.0,False,False,False,-0.032494311717861206,0.032494311717861206,negligenciável
Baixada Litoranea,ur_med,internacoes_i60_i69,P05_vs_P50,293.0,303,2.0,1.0,1.8225255972696246,1.5313531353135315,48621.0,0.038610232449712734,0.29117246195609314,,,,0.13899683681896585,1.0,False,False,False,0.095326597506167,0.095326597506167,negligenciável
Baixada Litoranea,ur_med,internacoes_i60_i69,P95_vs_P50,,303,,1.0,,1.5313531353135315,39127.5,0.009645896786124002,-0.23783777695175679,293.0,1.0,1.2935153583617747,0.06945045686009281,1.0,False,True,False,-0.11854154698746325,0.11854154698746325,negligenciável
Baixada Litoranea,ur_med,internacoes_i60_i64,P05_vs_P50,293.0,303,1.0,1.0,1.6996587030716723,1.4323432343234324,48266.0,0.05750441108234428,0.26731546874823997,,,,0.17618372757143783,1.0,False,False,False,0.08732921073677334,0.08732921073677334,negligenciável
Baixada Litoranea,ur_med,internacoes_i60_i64,P95_vs_P50,,303,,1.0,,1.4323432343234324,39530.0,0.016479071429170326,-0.2105002309104631,293.0,1.0,1.2218430034129693,0.08182711330346644,1.0,False,True,False,-0.10947408734047466,0.10947408734047466,negligenciável
Baixada Litoranea,ur_med,obitos_i60_i69,P05_vs_P50,293.0,303,1.0,1.0,0.9488054607508533,1.0198019801980198,43369.0,0.6071948856202368,-0.07099651944716656,,,,0.7948733048119463,1.0,False,False,False,-0.022989670980749954,0.022989670980749954,negligenciável
Baixada Litoranea,ur_med,obitos_i60_i69,P95_vs_P50,,303,,1.0,,1.0198019801980198,44765.0,0.8505883739192049,-0.009563072348190538,293.0,1.0,1.0102389078498293,0.9209377883035001,1.0,False,False,False,0.008459207695513579,0.008459207695513579,negligenciável
Baixada Litoranea,ur_med,obitos_i60_i64,P05_vs_P50,293.0,303,0.0,0.0,0.6040955631399317,0.6402640264026402,44036.5,0.8508177149343933,-0.036168463262708506,,,,0.9143115742578555,1.0,False,False,False,-0.007952331069284403,0.007952331069284403,negligenciável
Baixada Litoranea,ur_med,obitos_i60_i64,P95_vs_P50,,303,,0.0,,0.6402640264026402,45305.0,0.6276781735554582,0.015026075986438236,293.0,0.0,0.6552901023890785,0.7998730707255397,1.0,False,False,False,0.020624246725013798,0.020624246725013798,negligenciável
Centro-Sul,temp_med,internacoes_i60_i69,P05_vs_P50,293.0,191,1.0,2.0,1.6689419795221843,2.0785340314136125,23693.0,0.0034121528804882755,-0.4095920518914282,,,,0.030709375924394478,0.49135001479031165,True,True,False,-0.15326197666315244,0.15326197666315244,pequeno
