estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
cid_grupo,ur_med,P05_vs_P50,1366.0,1523,,2.0,2.0,2.6910688140556367,2.830597504924491,1021569.5,0.37610316527239196,-0.13952869086885444,,,,,,I60-I62_hemorragico,,0.6146076115426893,1.0,False,False,False
cid_grupo,ur_med,P95_vs_P50,,1523,,,2.0,,2.830597504924491,979238.0,0.4098363512011576,-0.05154551715690703,1308.0,2.0,2.779051987767584,,,I60-I62_hemorragico,,0.6435711452455678,1.0,False,False,False
cid_grupo,ur_med,P05_vs_P50,608.0,681,,1.0,1.0,1.6661184210526316,1.6519823788546255,211507.5,0.43705864407744277,0.014136042198006127,,,,,,I63_isquemico,,0.6507317589597481,1.0,False,False,False
cid_grupo,ur_med,P95_vs_P50,,681,,,1.0,,1.6519823788546255,180240.0,0.9132898056473022,-0.03992964815782707,531.0,1.0,1.6120527306967984,,,I63_isquemico,,0.9611060258382604,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,200.0,167,,2.0,1.0,1.83,1.778443113772455,17282.0,0.5317787553956805,0.05155688622754506,,,,,,,Baia da Ilha Grande,0.7321063687296698,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,,167,,,1.0,,1.778443113772455,15674.0,0.2586281254468846,-0.11344311377245497,200.0,1.0,1.665,,,,Baia da Ilha Grande,0.49508812585546486,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,274.0,212,,3.0,2.0,2.9160583941605838,2.80188679245283,31012.0,0.1888569877623839,0.11417160170775364,,,,,,,Baixada Litoranea,0.4313665288663541,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,,212,,,2.0,,2.80188679245283,30493.0,0.15738300548806727,0.19438186426358772,268.0,3.0,2.996268656716418,,,,Baixada Litoranea,0.395424801288769,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,260.0,177,,2.0,3.0,2.6615384615384614,3.005649717514124,20567.5,0.05365958390277028,-0.3441112559756627,,,,,,,Centro-Sul,0.23446905140123536,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,,177,,,3.0,,3.005649717514124,21933.5,0.1695500056720739,-0.23326165781263164,268.0,2.5,2.7723880597014925,,,,Centro-Sul,0.40093589576572775,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,290.0,246,,6.0,5.0,6.979310344827586,6.073170731707317,40521.5,0.006306935567809924,0.9061396131202688,,,,,,,Medio Paraiba,0.04695163144925165,1.0,True,True,False
macro_regiao,temp_med,P95_vs_P50,,246,,,5.0,,6.073170731707317,32674.5,0.1541374354123383,-0.07317073170731714,286.0,5.0,6.0,,,,Medio Paraiba,0.39217246225164554,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,293.0,247,,39.0,36.0,40.77133105802048,37.60323886639676,43135.0,0.00011840928998986818,3.168092191623721,,,,,,,Metropolitana I,0.002975033410995438,0.023800267287963504,True,True,True
macro_regiao,temp_med,P95_vs_P50,,247,,,36.0,,37.60323886639676,34611.5,0.4205885349940106,9.472103599356664,292.0,36.0,47.07534246575342,,,,Metropolitana I,0.6553356242929933,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,293.0,338,,8.0,9.0,8.450511945392492,9.674556213017752,38009.0,4.236931930349977e-07,-1.2240442676252599,,,,,,,Metropolitana II,4.2581165900017266e-05,8.516233180003453e-05,True,True,True
